"opr_date","nodename","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","updated_at"
2024-07-27,PACW,2101.90,1943.40,1865.50,1809.60,1820.80,1848.20,1878.10,2002.20,2106.70,2224.30,2274.70,2359.70,2419.70,2525.80,2647.00,2740.70,2833.20,2882.10,2880.40,2762.60,2674.70,2580.40,2375.20,2200.20,2024-07-27 07:17:50.236 -0700
2024-07-27,PNM,1466.10,1390.80,1355.40,1338.10,1359.80,1359.80,1390.70,1403.50,1465.40,1520.40,1640.40,1759.20,1878.00,2012.40,2064.20,2137.30,2142.50,2080.30,2013.30,1982.10,1915.00,1781.70,1676.30,1578.70,2024-07-27 07:17:50.236 -0700
2024-07-27,PGE,2286.48,2132.31,2059.82,1987.95,1961.50,1997.12,2024.52,2131.60,2174.48,2242.54,2297.47,2354.31,2398.23,2504.36,2632.11,2759.68,2921.40,3027.90,3046.52,2987.81,2863.13,2799.36,2612.08,2411.60,2024-07-27 07:17:50.236 -0700
2024-07-27,SCE-TAC,13329.30,11297.60,11839.00,10074.40,9798.10,9716.70,10927.30,10884.10,9692.10,10079.20,10457.00,10980.00,12448.00,13621.30,12992.90,15066.80,15706.00,14901.60,14983.10,14755.30,15318.30,13837.40,12931.20,13009.10,2024-07-27 07:17:50.236 -0700
2024-08-09,PSEI,2444.80,2306.80,2210.40,2123.70,2132.00,2215.10,2341.40,2536.00,2698.20,2808.80,2928.50,3012.00,3099.30,3214.10,3313.70,3423.80,3530.70,3553.30,3490.30,3371.60,3310.40,3200.20,2960.40,2698.20,2024-08-09 07:17:52.500 -0700
2024-08-20,AVA,1015.58,962.69,930.13,912.63,948.35,998.85,1098.52,1166.95,1201.89,1251.64,1303.44,1360.22,1398.61,1428.65,1452.09,1469.03,1489.97,1483.82,1449.95,1404.10,1351.04,1286.81,1170.40,1067.97,2024-08-20 07:19:11.836 -0700
2024-07-28,SCL,825.80,784.80,745.90,718.70,722.30,729.90,739.80,776.80,821.40,867.50,889.20,920.50,945.30,948.30,963.80,975.60,1005.70,1035.60,1047.30,1031.80,1020.40,1009.70,949.90,885.20,2024-07-28 07:17:59.589 -0700
2024-08-05,SCL,890.60,834.30,811.20,794.00,802.30,840.30,899.00,982.00,1016.10,1038.90,1064.40,1098.10,1116.70,1135.40,1158.80,1176.80,1198.00,1212.90,1178.90,1143.80,1118.00,1094.80,1009.60,926.00,2024-08-05 07:17:56.576 -0700
2024-07-30,VEA-TAC,61.35,59.45,54.35,51.80,53.35,55.00,56.30,61.05,65.05,70.30,75.40,80.90,85.20,91.45,97.25,101.80,106.00,108.05,106.80,99.15,90.90,81.10,72.20,64.50,2024-07-30 07:17:53.349 -0700
2024-08-08,SCE-TAC,11869.91,12264.22,10460.92,10227.58,10109.14,10429.60,10738.54,12606.35,11405.58,11721.92,13945.77,14524.32,13579.10,14556.46,15372.16,16215.64,18392.26,16968.36,16765.01,16207.68,15718.43,15074.95,13897.10,12726.94,2024-08-08 07:17:52.127 -0700
2024-08-08,TEPC,1472.30,1394.30,1342.05,1320.85,1339.95,1396.10,1441.30,1486.10,1569.30,1595.35,1690.90,1841.45,1979.20,2067.30,2139.50,2193.90,2236.20,2166.30,2097.00,2035.25,1956.70,1825.90,1679.40,1552.80,2024-08-08 07:17:52.127 -0700
2024-09-13,PACNW,21701.67,21030.22,20719.03,20637.73,21059.66,22341.08,24433.41,25732.47,26146.74,26542.67,26622.24,26722.89,26844.10,26934.33,26925.21,27156.81,27470.65,27596.82,27343.18,27345.69,26825.24,25518.81,23982.33,22652.44,2024-09-13 07:19:13.263 -0700
2024-09-13,LADWP,2551.90,2410.30,2317.70,2264.40,2267.00,2363.10,2554.10,2657.30,2777.10,2895.90,2955.40,3054.00,3218.10,3357.40,3519.40,3660.40,3688.80,3658.30,3482.50,3434.90,3278.10,3088.80,2883.90,2692.70,2024-09-13 07:19:13.263 -0700
2024-09-18,TPWR,356.20,339.80,330.10,327.30,342.30,372.70,415.50,437.50,454.00,458.90,461.90,463.00,466.10,462.80,460.90,462.80,466.50,467.60,468.60,481.10,472.80,447.40,411.10,377.00,2024-09-18 07:19:25.276 -0700
2025-11-21,SRP,2979.10,2939.70,2940.20,3032.80,3209.40,3467.10,3501.30,3463.20,3425.00,3334.90,3273.20,3212.40,3176.70,3152.60,3230.90,3340.10,3518.80,3566.60,3503.90,3463.60,3416.90,3342.90,3212.90,3141.70,2025-11-16 06:17:39.717 -0800
2025-02-11,TIDC,275.40,269.90,267.16,270.80,281.20,295.60,331.96,343.30,329.48,299.86,281.74,273.62,269.32,273.16,278.44,284.54,294.78,308.96,324.52,323.46,320.34,309.52,293.66,279.46,2025-02-11 06:20:00.963 -0800
2025-07-02,PSEI,2319.02,2170.24,2086.98,2005.41,1997.67,2079.00,2248.27,2387.76,2520.64,2628.30,2624.74,2634.92,2746.51,2798.76,2831.62,2901.57,2974.45,3021.34,3022.86,2985.83,2904.22,2815.93,2653.24,2396.95,2025-07-02 07:17:38.872 -0700
2024-07-25,PGE,2262.61,2145.30,2081.22,2036.21,2040.85,2153.36,2286.62,2394.56,2470.01,2457.20,2490.55,2526.39,2582.91,2629.39,2685.74,2737.84,2850.72,2965.01,2963.67,2922.20,2850.90,2784.96,2615.83,2390.65,2024-07-25 07:17:54.263 -0700
2024-07-25,NWMT,1267.05,1266.90,1254.85,1238.35,1268.90,1348.40,1444.10,1463.05,1525.60,1617.20,1655.25,1708.20,1730.05,1734.15,1771.45,1765.85,1769.45,1747.50,1698.40,1611.85,1572.70,1492.75,1392.55,1332.00,2024-07-25 07:17:54.263 -0700
2024-07-25,PACNW,24523.70,23667.77,23083.20,22632.89,22926.33,23758.76,25360.26,26816.97,28002.87,28714.28,29202.81,29954.65,30481.84,30781.30,31120.14,31498.16,32036.86,32485.03,32274.81,31560.23,30578.19,29697.66,27901.35,25866.56,2024-07-25 07:17:54.263 -0700
2024-07-25,TIDC,461.40,432.80,413.70,393.10,385.00,392.70,407.80,422.40,443.90,465.50,501.30,535.40,582.50,619.30,647.80,664.60,680.10,685.00,672.80,649.40,614.00,581.90,530.20,486.30,2024-07-25 07:17:54.263 -0700
2024-07-25,VEA-TAC,78.02,70.23,67.23,64.02,63.98,65.02,65.80,72.28,78.57,84.94,93.75,103.32,114.47,120.40,125.65,128.35,130.51,131.46,129.48,123.11,114.91,104.31,93.11,84.86,2024-07-25 07:17:54.263 -0700
2024-07-19,SRP,5304.50,5013.04,4815.20,4586.61,4488.17,4528.14,4627.91,4943.36,5472.53,5720.76,6106.17,6727.13,7148.20,7452.07,7622.15,7753.16,7730.47,7787.83,7604.94,7145.06,6851.66,6501.58,6137.72,5729.49,2024-07-19 07:17:52.552 -0700
2024-07-19,TIDC,421.70,391.70,371.10,349.60,349.00,350.20,368.10,381.80,400.90,426.20,449.50,486.20,517.60,557.90,590.80,612.20,632.60,646.10,639.80,624.60,595.30,567.90,522.30,475.30,2024-07-19 07:17:52.552 -0700
2024-07-19,PSEI,2395.46,2245.82,2124.35,2081.99,2087.09,2161.90,2297.86,2492.58,2600.34,2711.37,2802.65,2890.82,2989.97,3103.39,3186.81,3306.37,3414.84,3495.81,3466.58,3357.57,3246.96,3154.40,2939.02,2650.06,2024-07-19 07:17:52.552 -0700
2024-07-19,BANC,2219.80,2055.50,1934.70,1881.55,1929.15,1987.40,2147.45,2249.15,2401.20,2658.30,2969.20,3298.35,3632.85,3939.20,4164.75,4275.40,4294.30,4223.35,4032.85,3810.15,3549.15,3188.35,2843.15,2599.55,2024-07-19 07:17:52.552 -0700
2024-07-19,SCE-TAC,11955.00,11286.00,12001.30,10258.20,10144.90,10356.90,10598.10,12604.80,11271.90,13471.20,11904.40,14908.10,16228.80,17302.60,18529.80,19509.20,20082.40,20163.90,18237.50,17465.50,16877.60,16229.60,15031.70,14996.70,2024-07-19 07:17:52.552 -0700
2024-07-25,AVA,1124.70,1056.60,1016.90,977.60,999.90,1041.30,1130.70,1200.60,1251.80,1290.10,1342.20,1372.90,1406.50,1442.20,1470.00,1489.20,1506.70,1533.60,1517.70,1455.70,1392.10,1333.00,1206.60,1092.90,2024-07-25 07:17:54.263 -0700
2024-07-25,EPE,1093.70,1054.10,970.80,975.60,1015.30,1030.60,1050.60,1110.90,1200.40,1312.10,1412.60,1541.20,1660.10,1773.70,1874.00,1929.60,1948.80,1943.10,1838.60,1765.50,1630.40,1472.40,1324.30,1221.30,2024-07-25 07:17:54.263 -0700
2024-07-25,PSEI,2133.93,2029.28,1954.48,1933.52,1946.44,2061.99,2243.12,2423.60,2514.61,2590.85,2596.95,2654.30,2704.77,2746.42,2774.04,2812.23,2893.65,2957.40,2939.97,2883.93,2853.24,2798.28,2590.08,2341.32,2024-07-25 07:17:54.263 -0700
2024-07-25,PNM,1512.70,1485.00,1430.40,1430.00,1447.40,1486.70,1546.40,1535.20,1606.60,1684.20,1766.40,1910.00,2046.40,2159.80,2216.50,2298.20,2255.90,2235.60,2141.20,2092.60,1988.90,1869.50,1721.40,1613.20,2024-07-25 07:17:54.263 -0700
2024-07-25,AZPS,5346.03,5271.77,4997.24,4905.60,4861.82,4993.77,5054.34,5244.69,5245.69,5482.26,5901.00,6246.92,6625.30,7014.84,7294.91,7528.09,7575.73,7685.41,7481.74,7242.17,7089.60,6666.28,6216.83,5719.77,2024-07-25 07:17:54.263 -0700
2024-07-25,SDGE-TAC,2691.14,2615.99,2447.26,2339.05,2330.33,2366.19,2497.91,2568.67,2561.60,2396.98,2458.44,2471.66,2562.31,2761.24,2901.15,2983.28,3283.18,3526.49,3580.78,3542.63,3551.93,3309.45,3176.76,2812.93,2024-07-25 07:17:54.263 -0700
2024-07-25,PACW,2220.60,2097.40,2015.70,1967.90,1991.40,2087.40,2232.50,2352.00,2485.30,2475.90,2534.90,2620.10,2742.70,2830.80,2910.50,2991.10,3067.60,3130.30,3127.20,3055.60,2926.00,2806.60,2573.90,2345.90,2024-07-25 07:17:54.263 -0700
2024-07-25,SRP,5174.99,4833.35,4686.45,4596.86,4580.92,4587.90,4763.23,5016.26,5292.41,5718.57,6136.45,6641.34,7005.99,7325.45,7525.51,7587.96,7556.83,7430.38,7352.78,7038.04,6823.87,6396.50,6041.57,5638.51,2024-07-25 07:17:54.263 -0700
2024-07-25,SCE-TAC,13027.30,13190.60,11356.80,12193.80,12076.30,11075.40,12786.80,13377.80,12379.40,14451.60,13639.80,16203.30,16419.90,17512.90,19683.80,19492.70,19869.50,21443.40,19910.20,18995.10,19379.50,18536.80,16100.80,14579.20,2024-07-25 07:17:54.263 -0700
