"opr_date","trading_hub","renewable_type","market_run_id","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","he25"
2023-12-13,NP15,SOLAR,DAM,0,0,0,0,0,0,0,229,858,1263,1270,1227,1243,1298,1192,666,131,0,0,0,0,0,0,0,
2023-12-13,NP15,WIND,DAM,127,109,98,92,90,88,81,71,64,56,41,29,24,18,13,12,13,12,9,7,7,7,7,9,
2023-12-13,SP15,SOLAR,DAM,0,0,0,0,0,0,146,2825,7159,9137,9347,9290,9316,9341,8126,4191,639,0,0,0,0,0,0,0,
2023-12-13,SP15,WIND,DAM,105,117,137,156,173,195,215,228,232,239,256,252,232,212,182,138,111,106,105,109,110,110,113,118,
2023-12-13,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,261,931,1366,1426,1416,1426,1451,1307,736,149,0,0,0,0,0,0,0,
2023-12-11,NP15,SOLAR,DAM,0,0,0,0,0,0,0,246,875,1254,1253,1198,1189,1167,1022,572,116,0,0,0,0,0,0,0,
2023-12-11,NP15,WIND,DAM,17,18,16,15,15,19,25,28,28,28,26,22,20,16,16,22,31,45,67,94,118,140,157,157,
2023-12-11,SP15,SOLAR,DAM,0,0,0,0,0,0,65,1601,4475,6353,7094,7321,7237,6760,5431,2672,396,0,0,0,0,0,0,0,
2023-12-11,SP15,WIND,DAM,71,86,109,139,174,195,200,195,178,134,93,109,166,239,297,355,477,654,788,825,773,660,546,482,
2023-12-11,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,217,804,1240,1351,1361,1361,1329,1125,599,116,0,0,0,0,0,0,0,
2023-12-09,NP15,SOLAR,DAM,0,0,0,0,0,0,0,263,909,1284,1292,1243,1231,1249,1131,633,122,0,0,0,0,0,0,0,
2023-12-09,NP15,WIND,DAM,183,169,164,151,126,105,89,74,62,48,38,34,27,21,17,14,15,17,17,16,16,18,22,25,
2023-12-30,NP15,SOLAR,DAM,0,0,0,0,0,0,0,33,274,482,561,694,747,781,792,514,53,0,0,0,0,0,0,0,
2023-12-30,NP15,WIND,DAM,93,81,71,62,61,59,58,66,77,86,99,122,141,150,150,139,146,190,232,246,271,299,279,237,
2023-12-30,SP15,SOLAR,DAM,0,0,0,0,0,0,29,1556,4543,5669,5977,6179,6237,6265,5880,3623,395,0,0,0,0,0,0,0,
2023-12-30,SP15,WIND,DAM,309,385,503,643,746,845,928,928,947,1112,1272,1474,1896,2352,2577,2573,2505,2447,2358,2263,2134,1918,1736,1657,
2023-12-30,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,45,301,571,731,832,852,864,786,500,55,0,0,0,0,0,0,0,
2023-12-27,NP15,SOLAR,DAM,0,0,0,0,0,0,0,58,369,559,597,586,564,590,547,330,33,0,0,0,0,0,0,0,
2023-12-27,NP15,WIND,DAM,63,68,77,99,119,131,177,186,133,135,156,154,149,142,146,168,182,179,182,186,185,184,169,136,
2023-12-27,SP15,SOLAR,DAM,0,0,0,0,0,0,41,1479,4004,4898,5310,5262,5217,4967,4204,2317,219,0,0,0,0,0,0,0,
2023-12-27,SP15,WIND,DAM,32,39,44,50,50,41,36,38,40,39,42,50,57,61,65,93,127,183,235,268,340,391,420,448,
2023-12-27,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,80,419,642,702,708,714,720,601,352,39,0,0,0,0,0,0,0,
2023-12-24,NP15,SOLAR,DAM,0,0,0,0,0,0,0,93,562,838,936,958,984,1042,975,588,51,0,0,0,0,0,0,0,
2023-12-24,NP15,WIND,DAM,10,9,8,10,11,14,18,20,26,32,36,37,35,35,33,27,24,21,22,25,25,22,23,24,
2023-12-24,SP15,SOLAR,DAM,0,0,0,0,0,0,56,2476,6713,8264,8543,8543,8558,8435,7673,4357,347,0,0,0,0,0,0,0,
2023-12-24,SP15,WIND,DAM,312,244,230,198,145,131,119,97,84,66,43,37,48,59,65,93,149,197,243,275,284,296,293,280,
2023-12-24,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,101,553,873,1045,1136,1174,1181,1069,628,54,0,0,0,0,0,0,0,
2023-12-22,NP15,SOLAR,DAM,0,0,0,0,0,0,0,119,662,966,1005,1001,1017,1090,1064,653,62,0,0,0,0,0,0,0,
2023-12-22,NP15,WIND,DAM,38,42,43,40,42,47,55,75,119,140,134,129,112,102,110,135,199,313,412,451,432,369,309,288,
2023-12-22,SP15,SOLAR,DAM,0,0,0,0,0,0,16,597,1570,1877,2061,2375,2493,2580,2531,1556,132,0,0,0,0,0,0,0,
2023-12-22,SP15,WIND,DAM,689,662,643,615,515,436,454,468,472,454,413,421,408,345,314,360,522,683,852,1035,1127,1176,1264,1432,
2023-12-22,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,97,490,788,967,1062,1141,1175,1069,632,61,0,0,0,0,0,0,0,
2023-12-20,NP15,SOLAR,DAM,0,0,0,0,0,0,0,52,252,345,339,325,320,321,299,167,16,0,0,0,0,0,0,0,
2023-12-20,NP15,WIND,DAM,301,337,360,371,378,380,389,387,355,305,248,222,215,193,209,203,152,135,132,158,177,170,183,178,
2023-12-20,SP15,SOLAR,DAM,0,0,0,0,0,0,71,2028,5051,6071,6247,6047,5992,5724,5126,2765,216,0,0,0,0,0,0,0,
2023-12-20,SP15,WIND,DAM,539,531,530,507,438,370,340,327,302,278,299,358,417,434,410,392,415,430,401,375,359,352,349,334,
2023-12-20,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,71,279,395,405,354,342,332,281,152,20,0,0,0,0,0,0,0,
2023-12-18,NP15,SOLAR,DAM,0,0,0,0,0,0,0,53,270,534,685,741,758,733,562,264,48,0,0,0,0,0,0,0,
2023-12-18,NP15,WIND,DAM,72,56,64,92,118,222,321,259,166,138,144,170,212,259,292,329,372,416,451,474,482,494,502,477,
2023-12-18,SP15,SOLAR,DAM,0,0,0,0,0,0,32,1221,3546,5224,5991,6199,6092,5731,4597,2259,322,0,0,0,0,0,0,0,
2023-12-18,SP15,WIND,DAM,93,92,114,145,151,136,155,143,103,98,99,137,214,304,383,414,406,394,373,329,301,331,376,419,
2023-12-18,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,72,323,598,733,771,767,704,541,264,47,0,0,0,0,0,0,0,
2023-12-16,NP15,SOLAR,DAM,0,0,0,0,0,0,0,208,821,1255,1283,1240,1249,1303,1231,716,145,0,0,0,0,0,0,0,
2023-12-16,NP15,WIND,DAM,37,31,31,42,43,41,44,44,43,41,33,24,18,16,13,11,15,21,29,34,34,35,33,32,
2023-12-16,SP15,SOLAR,DAM,0,0,0,0,0,0,52,1876,5380,7515,8222,8415,8462,8325,7173,3779,598,0,0,0,0,0,0,0,
2023-12-16,SP15,WIND,DAM,417,362,302,287,274,248,231,230,224,207,182,155,127,106,90,79,85,108,133,146,146,144,143,138,
2023-12-16,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,218,830,1295,1402,1403,1406,1417,1288,740,152,0,0,0,0,0,0,0,
2023-12-14,NP15,SOLAR,DAM,0,0,0,0,0,0,0,199,733,1086,1127,1091,1062,1001,813,430,85,0,0,0,0,0,0,0,
2023-12-14,NP15,WIND,DAM,19,20,17,16,18,23,26,26,24,24,24,26,27,24,21,20,22,27,31,36,41,46,45,42,
2023-12-14,SP15,SOLAR,DAM,0,0,0,0,0,0,131,2689,6912,8869,9088,9020,8961,8706,7332,3633,527,0,0,0,0,0,0,0,
2023-12-14,SP15,WIND,DAM,103,104,108,113,117,127,143,156,165,170,178,183,180,170,156,140,140,161,188,215,241,259,267,271,
2023-12-14,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,224,811,1223,1309,1304,1279,1197,964,497,95,0,0,0,0,0,0,0,
2023-12-12,NP15,SOLAR,DAM,0,0,0,0,0,0,0,239,857,1234,1244,1215,1238,1308,1237,710,140,0,0,0,0,0,0,0,
2023-12-12,NP15,WIND,DAM,130,120,109,99,95,93,93,93,94,92,87,90,96,98,96,97,107,121,133,146,158,175,196,192,
2023-12-12,SP15,SOLAR,DAM,0,0,0,0,0,0,87,2085,5564,7593,8377,8619,8719,8770,7723,4044,623,0,0,0,0,0,0,0,
2023-12-12,SP15,WIND,DAM,727,622,598,628,654,647,569,409,255,150,112,125,151,178,195,198,199,218,237,214,161,129,118,117,
2023-12-12,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,254,906,1338,1403,1398,1406,1434,1305,741,152,0,0,0,0,0,0,0,
2023-12-10,NP15,SOLAR,DAM,0,0,0,0,0,0,0,192,682,1005,1071,1065,1050,1013,843,450,88,0,0,0,0,0,0,0,
2023-12-10,NP15,WIND,DAM,31,32,31,31,31,30,29,28,31,33,29,24,22,23,25,32,40,44,42,38,37,37,38,37,
2023-12-10,SP15,SOLAR,DAM,0,0,0,0,0,0,192,2959,7175,8933,9105,9003,8858,8539,7052,3443,499,0,0,0,0,0,0,0,
2023-12-10,SP15,WIND,DAM,456,451,443,428,411,395,383,374,355,319,285,252,211,172,139,126,140,152,157,168,170,169,181,204,
2023-12-10,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,234,794,1160,1256,1272,1250,1179,961,496,93,0,0,0,0,0,0,0,
2023-12-09,SP15,SOLAR,DAM,0,0,0,0,0,0,216,3031,7145,8831,9029,8997,8947,8837,7610,3900,580,0,0,0,0,0,0,0,
2023-03-25,SP15,SOLAR,DAM,0,0,0,0,0,0,27,2033,6715,8795,9675,9974,10092,10080,9958,9623,8513,5545,766,12,0,0,0,0,
2023-03-25,SP15,WIND,DAM,2644,2553,2445,2366,2287,2199,2118,2071,1965,1848,1827,1947,2186,2478,2782,3027,3130,3127,3093,3009,2917,2846,2740,2612,
2023-03-25,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,129,839,1445,1712,1817,1821,1816,1774,1685,1535,1091,219,0,0,0,0,0,
2023-03-23,NP15,SOLAR,DAM,0,0,0,0,0,0,0,84,618,1053,1199,1334,1392,1453,1475,1451,1412,1102,220,0,0,0,0,0,
2023-03-23,NP15,WIND,DAM,151,208,284,370,454,527,583,629,668,698,708,711,726,777,850,937,1008,1024,973,880,838,842,838,784,
2023-03-23,SP15,SOLAR,DAM,0,0,0,0,0,0,9,1454,5518,7429,8180,8279,8400,8442,8283,7996,7057,4600,589,8,0,0,0,0,
2023-03-23,SP15,WIND,DAM,1075,1118,1136,1163,1227,1294,1331,1438,1595,1875,2215,2504,2740,2900,3027,3080,3017,2896,2794,2787,2844,2928,3014,3010,
2023-03-23,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,67,483,919,1165,1250,1279,1334,1365,1322,1188,799,173,0,0,0,0,0,
2023-03-21,NP15,SOLAR,DAM,0,0,0,0,0,0,0,35,236,391,462,585,656,631,608,563,517,377,87,0,0,0,0,0,
2023-03-21,NP15,WIND,DAM,90,84,93,113,174,201,296,330,396,458,465,516,612,593,592,512,505,417,335,310,321,323,379,396,
2023-03-21,SP15,SOLAR,DAM,0,0,0,0,0,0,2,456,1805,2734,3452,3939,4585,4701,4566,4548,3931,2408,394,3,0,0,0,0,
2023-03-21,SP15,WIND,DAM,1385,1430,1299,1254,1189,1098,1001,993,1067,1039,1011,1120,1452,1802,1779,1671,1591,1554,1535,1417,1386,1450,1428,1383,
2023-03-21,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,35,244,427,509,666,718,700,643,550,475,309,78,0,0,0,0,0,
2023-03-19,NP15,SOLAR,DAM,0,0,0,0,0,0,0,34,282,539,645,710,791,782,803,768,715,552,117,0,0,0,0,0,
2023-03-19,NP15,WIND,DAM,234,175,296,332,277,274,292,348,353,327,347,322,263,237,280,329,333,400,426,488,516,538,592,596,
2023-03-19,SP15,SOLAR,DAM,0,0,0,0,0,0,2,658,2655,3992,4578,5122,5483,5470,5404,5029,4500,2910,386,1,0,0,0,0,
2023-03-19,SP15,WIND,DAM,230,265,253,246,386,345,378,400,353,439,602,725,917,1075,1136,1200,1275,1345,1411,1500,1557,1540,1603,1608,
2023-03-19,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,37,293,540,686,735,809,770,781,714,622,431,86,0,0,0,0,0,
2023-12-29,NP15,SOLAR,DAM,0,0,0,0,0,0,0,46,342,599,650,628,623,651,606,371,31,0,0,0,0,0,0,0,
2023-12-29,NP15,WIND,DAM,42,40,38,37,37,40,46,57,71,83,96,111,138,172,200,234,244,228,191,173,178,157,131,122,
2023-12-29,SP15,SOLAR,DAM,0,0,0,0,0,0,34,1392,3879,4985,5296,5204,5081,4986,4509,2621,259,0,0,0,0,0,0,0,
2023-12-29,SP15,WIND,DAM,136,148,161,172,186,201,205,200,193,187,180,172,161,149,134,125,126,144,177,216,256,294,335,389,
2023-12-29,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,68,370,680,819,818,797,790,706,463,45,0,0,0,0,0,0,0,
2023-03-17,NP15,SOLAR,DAM,0,0,0,0,0,0,0,90,864,1484,1616,1595,1562,1536,1529,1459,1348,949,184,0,0,0,0,0,
2023-03-17,NP15,WIND,DAM,120,107,103,87,68,62,68,77,69,66,70,60,42,32,19,16,15,13,20,19,31,52,77,96,
2023-12-26,NP15,SOLAR,DAM,0,0,0,0,0,0,0,68,418,625,723,763,808,822,711,409,37,0,0,0,0,0,0,0,
2023-12-26,NP15,WIND,DAM,43,35,26,25,24,21,19,20,23,22,18,16,19,19,18,18,18,22,31,34,34,38,46,51,
2023-12-26,SP15,SOLAR,DAM,0,0,0,0,0,0,47,1911,4999,6360,6539,6423,6677,6607,5968,3294,294,0,0,0,0,0,0,0,
2023-12-26,SP15,WIND,DAM,222,162,159,151,133,136,124,95,81,64,61,72,97,122,119,105,95,78,53,38,37,37,36,38,
2023-12-26,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,88,469,812,969,1042,1066,1054,875,483,46,0,0,0,0,0,0,0,
2023-12-09,SP15,WIND,DAM,353,392,439,489,530,565,583,603,640,708,763,771,746,696,630,547,489,470,463,454,444,437,427,417,
2023-12-09,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,250,881,1309,1399,1406,1400,1384,1217,665,127,0,0,0,0,0,0,0,
2023-12-08,NP15,SOLAR,DAM,0,0,0,0,0,0,0,255,856,1167,1166,1165,1197,1276,1220,711,144,0,0,0,0,0,0,0,
2023-12-08,NP15,WIND,DAM,144,104,85,80,86,99,118,141,163,190,249,333,401,425,416,368,326,323,328,339,349,348,345,346,
2023-12-08,SP15,SOLAR,DAM,0,0,0,0,0,0,227,3063,7243,9100,9298,9273,9244,9195,7878,3980,578,0,0,0,0,0,0,0,
2023-12-08,SP15,WIND,DAM,2515,2488,2454,2407,2309,2195,2015,1724,1375,1021,805,738,676,639,648,702,799,816,691,533,409,305,260,301,
2023-12-08,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,215,742,1089,1191,1249,1285,1321,1215,699,143,0,0,0,0,0,0,0,
2023-12-07,NP15,SOLAR,DAM,0,0,0,0,0,0,0,246,878,1242,1237,1173,1152,1119,943,518,104,0,0,0,0,0,0,0,
2023-12-07,NP15,WIND,DAM,465,444,391,315,245,223,226,229,245,278,331,461,519,442,357,299,288,321,333,304,276,247,219,186,
2023-12-07,SP15,SOLAR,DAM,0,0,0,0,0,0,180,2544,6171,7944,8457,8603,8629,8492,7223,3574,510,0,0,0,0,0,0,0,
2023-12-07,SP15,WIND,DAM,2609,2621,2602,2565,2494,2430,2438,2440,2395,2436,2599,2729,2804,2858,2884,2871,2806,2719,2663,2562,2444,2367,2296,2234,
2023-12-07,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,178,671,1074,1241,1298,1304,1291,1128,620,122,0,0,0,0,0,0,0,
2023-12-06,NP15,SOLAR,DAM,0,0,0,0,0,0,0,268,889,1228,1227,1169,1145,1081,856,419,69,0,0,0,0,0,0,0,
2023-12-06,NP15,WIND,DAM,55,57,63,79,128,216,300,339,349,351,332,318,329,335,330,346,377,415,458,447,407,389,390,395,
2023-12-06,SP15,SOLAR,DAM,0,0,0,0,0,0,229,3055,7219,8988,9173,9055,8956,8749,7365,3638,511,0,0,0,0,0,0,0,
2023-12-06,SP15,WIND,DAM,91,78,62,51,48,49,47,46,43,39,63,138,274,498,751,897,1026,1325,1691,1888,1977,2044,2061,2099,
