"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type","resource_xref","resource_mask","dyn_label","gen_type","max_bid","asset_xref","gen_xref","resource_id","classification","qf","resource_agg_type","parent_resource_id","resource_type","gen_unit_name","net_dependable_capacity","nameplate_capacity","pto_area","owner_or_qf","unit_type","energy_source","zone","cod","river_system","baa_id","udc"
1001030,505359,827670,GENERATOR,1000521,827670,GARLND_2_GARBT1,,88,1001030,101252,GARLND_2_GARBT1,Participating Unit,N,N,"",GEN,Garland B BESS,88.00000000000000000,88.00000000000000000,SCE,"SP Garland Solar Storage, LLC",OTHER,LESR,SP15,"2022-01-31",,CISO,SCE
1001049,187496,705954,GENERATOR,1001119,705954,,,,1001049,,,,,,,,,,,,,,,,,,,
1001065,111547,163998,GENERATOR,1001070,163998,,,60,1001065,,,,,,,,,,,,,,,,,,,
1001067,640802,261727,GENERATOR,1000361,261727,PIT3_7_PL1X3,,70.6,1001067,101337,PIT3_7_PL1X3,Participating Unit,N,Y,PIT3_7_PL1X3,GEN,"PIT PH 3 UNITS 1, 2 & 3 AGGREGATE",70.59999999999999432,,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,"1925-01-01",,CISO,PGAE
1001075,505359,484091,GENERATOR,1000527,484091,,,72,1001075,,,,,,,,,,,,,,,,,,,
1001083,505359,192712,GENERATOR,1000680,192712,,,,1001083,,,,,,,,,,,,,,,,,,,
1001085,484554,314410,GENERATOR,1001318,314410,,,132,1001085,,,,,,,,,,,,,,,,,,,
1001097,187496,166218,GENERATOR,1000567,166218,,,,1001097,,,,,,,,,,,,,,,,,,,
1001113,575998,418546,GENERATOR,1001316,418546,CMBLND_2_DS2BT1,,52,1001113,100462,CMBLND_2_DS2BT1,Participating Unit,N,N,"",GEN,Daggett 2 a BESS,52.00000000000000000,52.00000000000000000,SCE,Daggett Solar Power 2 LLC,OTHER,LESR,SP15,"2023-11-22",,CISO,SCE
1001160,575998,939640,GENERATOR,1001128,939640,,,100,1001160,,,,,,,,,,,,,,,,,,,
