"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type"
1001402,137111,244210,INTERTIE
1001403,505359,243795,GENERATOR
1001404,419323,199482,GENERATOR
1001405,139213,930682,GENERATOR
1001406,138185,176863,GENERATOR
1001407,725439,913601,INTERTIE
1001408,505359,195000,GENERATOR
1001409,242731,152876,LOAD
1001410,139213,705694,GENERATOR
1001411,505359,135132,GENERATOR
1001412,189093,219854,INTERTIE
1001413,160711,189702,GENERATOR
1001414,160711,125437,LOAD
1001415,187496,194802,GENERATOR
1001416,139213,569517,GENERATOR
1001417,900650,919553,GENERATOR
1001418,505359,941221,GENERATOR
1001419,280774,951354,INTERTIE
1001420,187496,695464,GENERATOR
1001421,413087,204700,GENERATOR
1001422,626300,961257,GENERATOR
1001423,307817,152979,INTERTIE
1001424,139213,160605,LOAD
1001425,505359,631172,GENERATOR
1001426,907664,174682,GENERATOR
1001427,505359,101332,GENERATOR
1001428,138185,166112,GENERATOR
1001429,189093,192081,INTERTIE
1001430,139213,156906,GENERATOR
1001431,987990,509317,GENERATOR
1001432,139213,705107,GENERATOR
1001433,187496,147614,GENERATOR
1001434,640802,248020,GENERATOR
1001435,142049,772243,LOAD
1001436,139213,174381,GENERATOR
1001437,640802,131086,GENERATOR
1001438,567223,579322,GENERATOR
1001439,132683,163987,LOAD
1001440,139213,539818,GENERATOR
1001441,168289,101298,INTERTIE
1001442,640802,166463,GENERATOR
1001443,505359,998964,GENERATOR
1001444,139213,823452,GENERATOR
1001445,113214,143797,LOAD
1001446,621200,620521,GENERATOR
1001447,417454,650623,GENERATOR
1001448,735081,723063,GENERATOR
1001449,640802,359873,GENERATOR
1001450,364625,129148,GENERATOR
1001451,386829,171503,LOAD
1001452,195793,360257,GENERATOR
1001453,167125,640989,INTERTIE
1001454,187496,442589,GENERATOR
1001455,712391,698118,GENERATOR
1001456,183056,170732,INTERTIE
1001457,725439,749591,GENERATOR
1001458,907664,799117,GENERATOR
1001459,187496,714255,GENERATOR
1001460,907664,283305,GENERATOR
1001461,907664,110580,GENERATOR
1001462,665097,143359,GENERATOR
1001463,153531,790192,GENERATOR
1001464,643795,178418,GENERATOR
1001465,725439,200351,GENERATOR
1001466,766049,789421,GENERATOR
1001467,138185,935815,GENERATOR
1001468,537733,116719,GENERATOR
1001469,907664,565863,GENERATOR
1001470,414109,428559,GENERATOR
1001471,953747,194982,INTERTIE
1001472,139213,401817,GENERATOR
1001473,907664,841732,GENERATOR
1001474,735081,693543,GENERATOR
1001475,907664,889096,GENERATOR
1001476,318998,301744,INTERTIE
1001477,187496,997924,GENERATOR
1001478,138185,184477,GENERATOR
1001479,339577,683398,INTERTIE
1001480,917730,968635,GENERATOR
1001481,907664,194554,GENERATOR
1001482,907664,769975,GENERATOR
1001483,575998,333220,GENERATOR
1001484,725439,125056,INTERTIE
1001485,907664,599766,GENERATOR
1001486,907664,185493,GENERATOR
1001487,318998,891453,INTERTIE
1001488,200092,933493,INTERTIE
1001489,505596,951615,INTERTIE
1001490,707928,787637,GENERATOR
1001491,907664,936262,GENERATOR
1001492,907664,899394,GENERATOR
1001493,121210,136915,GENERATOR
1001494,907664,954895,GENERATOR
1001495,505359,712202,GENERATOR
1001496,139213,194470,GENERATOR
1001497,933448,252664,INTERTIE
1001498,907664,662589,GENERATOR
1001499,142049,112572,INTERTIE
1001500,138185,842105,GENERATOR
1001501,505359,988469,GENERATOR
1001502,505359,157915,GENERATOR
1001503,190145,192688,INTERTIE
1001504,138185,947500,GENERATOR
1001505,141772,670696,INTERTIE
1001506,153531,551256,GENERATOR
1001507,115307,255129,INTERTIE
1001508,907664,116789,GENERATOR
1001509,187496,760220,GENERATOR
1001510,907664,463904,GENERATOR
1001511,318998,959475,INTERTIE
1001512,665097,958146,GENERATOR
1001513,907664,164138,GENERATOR
1001514,307817,153204,INTERTIE
1001515,907664,867323,GENERATOR
1001516,141772,237883,INTERTIE
1001517,124591,311481,GENERATOR
1001518,167125,705842,INTERTIE
1001519,537733,610033,GENERATOR
1001520,205097,186340,GENERATOR
1001521,907664,989391,GENERATOR
1001522,318998,622149,INTERTIE
1001523,138185,456970,GENERATOR
1001524,187496,222736,GENERATOR
1001525,589323,292514,INTERTIE
1001526,704358,236654,GENERATOR
1001527,172810,142035,INTERTIE
1001528,907664,180123,GENERATOR
1001529,505359,279859,INTERTIE
1001530,206037,150290,INTERTIE
1001531,907664,355472,GENERATOR
1001532,907664,174762,GENERATOR
1001533,907664,494739,GENERATOR
1001534,138185,420005,GENERATOR
1001535,139213,465357,GENERATOR
1001536,138185,201671,GENERATOR
1001537,907664,196033,GENERATOR
1001538,907664,172522,GENERATOR
1001539,138185,105081,GENERATOR
1001540,907664,225395,GENERATOR
1001541,153531,126080,GENERATOR
1001542,907664,383981,GENERATOR
1001543,386315,261146,GENERATOR
1001544,542406,664489,GENERATOR
1001545,900650,747637,INTERTIE
1001546,139213,109592,GENERATOR
1001547,242731,997975,INTERTIE
1001548,907664,880451,GENERATOR
1001549,152321,837772,INTERTIE
1001550,138185,980728,GENERATOR
1001551,537733,280216,GENERATOR
1001552,723920,208327,INTERTIE
1001553,138185,391870,GENERATOR
1001554,907664,158270,GENERATOR
1001555,537733,798418,GENERATOR
1001556,138185,192759,GENERATOR
1001557,907664,292550,GENERATOR
1001558,665097,671945,GENERATOR
1001559,626300,152702,GENERATOR
1001560,832672,961578,GENERATOR
1001561,522779,701361,GENERATOR
1001562,907664,646828,GENERATOR
1001563,505359,179127,INTERTIE
1001564,907664,808728,GENERATOR
1001565,152321,521646,INTERTIE
1001566,505359,128783,INTERTIE
1001567,907664,149721,GENERATOR
1001568,907664,144465,GENERATOR
1001569,434510,303003,GENERATOR
1001570,907664,925443,GENERATOR
1001571,187496,714108,GENERATOR
1001572,187496,781267,GENERATOR
1001573,386315,180457,GENERATOR
1001574,907664,857825,GENERATOR
1001575,827577,159863,INTERTIE
1001576,907664,765128,GENERATOR
1001577,505359,211779,INTERTIE
1001578,138185,134846,GENERATOR
1001579,629058,908243,GENERATOR
1001580,418593,337839,INTERTIE
1001581,907664,484707,GENERATOR
1001582,505359,273309,GENERATOR
1001583,138185,220992,GENERATOR
1001584,907664,944837,GENERATOR
1001585,907664,316273,GENERATOR
1001586,190145,500417,INTERTIE
1001587,440104,982044,GENERATOR
1001588,160711,151446,GENERATOR
1001589,907664,326509,GENERATOR
1001590,468404,153790,INTERTIE
1001591,187496,593445,GENERATOR
1001592,907664,181829,GENERATOR
1001593,138185,189535,GENERATOR
1001594,537733,181331,GENERATOR
1001595,537733,772810,GENERATOR
1001596,629058,783204,GENERATOR
1001597,138185,103296,GENERATOR
1001598,138185,124292,GENERATOR
1001599,138185,511507,GENERATOR
1001600,153531,439517,GENERATOR
1001601,537733,378081,GENERATOR
1001602,537733,172386,GENERATOR
1001603,537733,676286,GENERATOR
1001604,139213,211495,GENERATOR
1001605,386315,115494,GENERATOR
1001606,900650,100966,GENERATOR
1001607,139213,293384,INTERTIE
1001608,505359,148240,GENERATOR
1001609,505359,144078,GENERATOR
1001610,183905,152074,GENERATOR
1001611,242731,113228,GENERATOR
1001612,537733,504926,GENERATOR
1001613,139213,712654,GENERATOR
1001614,153531,208415,GENERATOR
1001615,907664,597763,GENERATOR
1001616,725439,186225,GENERATOR
1001617,121210,313257,GENERATOR
1001618,907664,530227,GENERATOR
1001619,907664,101796,GENERATOR
1001620,505359,466677,GENERATOR
1001621,139213,476474,GENERATOR
1001622,704358,131041,GENERATOR
1001623,606579,964592,GENERATOR
1001624,505359,969606,GENERATOR
1001625,117679,113419,GENERATOR
1001626,138185,148199,GENERATOR
1001627,505359,566935,GENERATOR
1001628,345228,165806,GENERATOR
1001629,242731,164152,GENERATOR
1001630,537733,385155,GENERATOR
1001631,907664,145912,GENERATOR
1001632,656003,631743,INTERTIE
1001633,275276,174158,GENERATOR
1001634,139213,137216,GENERATOR
1001635,167125,434351,INTERTIE
1001636,640943,648785,INTERTIE
1001637,245368,525442,GENERATOR
1001638,173992,617807,GENERATOR
1001639,252033,469814,GENERATOR
1001640,138185,291899,GENERATOR
1001641,138185,978761,GENERATOR
1001642,187496,811134,GENERATOR
1001643,138185,191748,GENERATOR
1001644,907664,113435,GENERATOR
1001645,666705,495706,GENERATOR
1001646,907664,235233,GENERATOR
1001647,907664,706210,GENERATOR
1001648,505359,221547,GENERATOR
1001649,907664,425529,GENERATOR
1001650,109347,509205,INTERTIE
1001651,907664,126929,GENERATOR
1001652,288539,727309,INTERTIE
1001653,167872,504976,INTERTIE
1001654,167125,183972,INTERTIE
1001655,537733,583335,GENERATOR
1001656,138185,375826,GENERATOR
1001657,476125,305080,INTERTIE
1001658,414109,586821,GENERATOR
1001659,505359,184433,INTERTIE
1001660,434510,583036,GENERATOR
1001661,505359,752674,GENERATOR
1001662,522779,648477,GENERATOR
1001663,907664,221221,GENERATOR
1001664,728555,153266,GENERATOR
1001665,907664,425127,GENERATOR
1001666,132371,308318,INTERTIE
1001667,505359,570138,INTERTIE
1001668,907664,756473,GENERATOR
1001669,575998,860118,GENERATOR
1001670,138185,602650,GENERATOR
1001671,505359,878424,INTERTIE
1001672,907664,660730,GENERATOR
1001673,434510,800826,GENERATOR
1001674,138185,941523,GENERATOR
1001675,907664,657597,GENERATOR
1001676,138185,474172,GENERATOR
1001677,735081,180516,GENERATOR
1001678,153531,584076,GENERATOR
1001679,386315,838717,GENERATOR
1001680,138185,358838,GENERATOR
1001681,907664,607944,GENERATOR
1001682,138185,278457,GENERATOR
1001683,138185,182219,GENERATOR
1001684,907664,253097,GENERATOR
1001685,138185,188461,GENERATOR
1001686,138185,291255,GENERATOR
1001687,505359,884065,GENERATOR
1001688,318998,609265,INTERTIE
1001689,907664,128370,GENERATOR
1001690,907664,814019,GENERATOR
1001691,907664,588490,GENERATOR
1001692,907664,666325,GENERATOR
1001693,211849,315073,INTERTIE
1001694,907664,155216,GENERATOR
1001695,907664,106446,GENERATOR
1001696,187496,182278,GENERATOR
1001697,907664,247612,GENERATOR
1001698,537733,553949,GENERATOR
1001699,138185,205754,GENERATOR
1001700,907664,767488,GENERATOR
1001701,723920,125517,INTERTIE
1001702,907664,174631,GENERATOR
1001703,138185,230269,GENERATOR
1001704,138185,123144,GENERATOR
1001705,187496,468693,GENERATOR
1001706,163143,163021,INTERTIE
1001707,505359,819144,INTERTIE
1001708,440217,910943,GENERATOR
1001709,183905,839105,GENERATOR
1001710,907664,125137,GENERATOR
1001711,907664,160144,GENERATOR
1001712,907664,509066,GENERATOR
1001713,907664,902485,GENERATOR
1001714,907664,213801,GENERATOR
1001715,907664,579612,GENERATOR
1001716,907664,647058,GENERATOR
1001717,907664,750016,GENERATOR
1001718,171989,217172,INTERTIE
1001719,766049,727885,GENERATOR
1001720,318998,797651,INTERTIE
1001721,173992,654478,GENERATOR
1001722,907664,125554,GENERATOR
1001723,505359,352503,INTERTIE
1001724,139213,202852,INTERTIE
1001725,410435,483575,GENERATOR
1001726,907664,871966,GENERATOR
1001727,153531,133878,GENERATOR
1001728,907664,199754,GENERATOR
1001729,139213,289947,INTERTIE
1001730,139213,280063,INTERTIE
1001731,907664,416491,GENERATOR
1001732,751396,798391,GENERATOR
1001733,318998,806408,INTERTIE
1001734,707928,106183,GENERATOR
1001735,537733,203116,GENERATOR
1001736,907664,741474,GENERATOR
1001737,138185,955743,GENERATOR
1001738,153531,100833,GENERATOR
1001739,158105,394840,GENERATOR
1001740,386315,435016,GENERATOR
1001741,907664,864511,GENERATOR
1001742,907664,290455,GENERATOR
1001743,907664,236291,GENERATOR
1001744,704358,193259,GENERATOR
1001745,907664,139696,GENERATOR
1001746,665097,108973,GENERATOR
1001747,907664,946405,GENERATOR
1001748,318998,629440,INTERTIE
1001749,138185,688481,GENERATOR
1001750,767540,195278,GENERATOR
1001751,907664,421603,GENERATOR
1001752,907664,181103,GENERATOR
1001753,907664,232199,GENERATOR
1001754,704358,685873,GENERATOR
1001755,153531,796184,GENERATOR
1001756,575998,238053,GENERATOR
1001757,725439,552159,INTERTIE
1001758,766049,291137,GENERATOR
1001759,451247,470278,INTERTIE
1001760,665097,186718,GENERATOR
1001761,138185,597598,GENERATOR
1001762,522779,805057,GENERATOR
1001763,907664,213561,GENERATOR
1001764,907664,112335,GENERATOR
1001765,138185,182144,GENERATOR
1001766,665097,126092,GENERATOR
1001767,907664,368718,GENERATOR
1001768,907664,912114,GENERATOR
1001769,124591,724738,GENERATOR
1001770,138185,615861,GENERATOR
1001771,167125,108123,INTERTIE
1001772,190145,640601,GENERATOR
1001773,418593,950594,INTERTIE
1001774,505359,109768,GENERATOR
1001775,137111,198714,INTERTIE
1001776,189093,479608,INTERTIE
1001777,505359,140687,GENERATOR
1001778,505359,870856,GENERATOR
1001779,505359,992146,INTERTIE
1001780,907664,119544,GENERATOR
1001781,138185,963110,GENERATOR
1001782,907664,105000,GENERATOR
1001783,640802,907238,GENERATOR
1001784,173992,540235,GENERATOR
1001785,907664,365034,GENERATOR
1001786,951213,135915,GENERATOR
1001787,505359,112729,INTERTIE
1001788,907664,122582,GENERATOR
1001789,795476,810173,INTERTIE
1001790,187496,661055,GENERATOR
1001791,209353,288336,GENERATOR
1001792,138185,386879,GENERATOR
1001793,190145,773021,GENERATOR
1001794,735081,166463,GENERATOR
1001795,907664,173265,GENERATOR
1001796,242731,203685,INTERTIE
1001797,138185,102271,GENERATOR
1001798,907664,199399,GENERATOR
1001799,907664,113920,GENERATOR
1001800,167125,627608,INTERTIE
1001801,318998,126469,INTERTIE
1001802,153531,577453,GENERATOR
1001803,167872,898481,INTERTIE
1001804,907664,696418,GENERATOR
1001805,505359,648686,GENERATOR
1001806,505359,279164,INTERTIE
1001807,723331,341369,GENERATOR
1001808,665097,951465,GENERATOR
1001809,189277,727757,GENERATOR
1001810,907664,275159,GENERATOR
1001811,505359,243439,GENERATOR
1001812,505359,950515,GENERATOR
1001813,318998,164522,INTERTIE
1001814,907664,459147,GENERATOR
1001815,132371,738813,INTERTIE
1001816,907664,727106,GENERATOR
1001817,138185,288495,GENERATOR
1001818,907664,151779,GENERATOR
1001819,319525,121702,INTERTIE
1001820,142049,264919,INTERTIE
1001821,435170,650182,GENERATOR
1001822,537733,168880,GENERATOR
1001823,187496,800958,GENERATOR
1001824,907664,185117,GENERATOR
1001825,665097,797090,GENERATOR
1001826,318998,196739,INTERTIE
1001827,242731,147450,INTERTIE
1001828,665097,608542,GENERATOR
1001829,537733,151372,GENERATOR
1001830,505359,985269,GENERATOR
1001831,537733,828695,GENERATOR
1001832,386315,785733,GENERATOR
1001833,907664,246311,GENERATOR
1001834,126187,650703,GENERATOR
1001835,907664,188676,GENERATOR
1001836,907664,191300,GENERATOR
1001837,907664,926896,GENERATOR
1001838,419375,634616,GENERATOR
1001839,183056,351427,INTERTIE
1001840,138185,641302,GENERATOR
1001841,907664,210520,GENERATOR
1001842,183056,761843,INTERTIE
1001843,575998,694315,GENERATOR
1001844,907664,857387,GENERATOR
1001845,735081,931363,GENERATOR
1001846,933448,204664,INTERTIE
1001847,907664,861345,GENERATOR
1001848,242731,107219,GENERATOR
1001849,138185,109723,GENERATOR
1001850,827577,788587,INTERTIE
1001851,167872,162324,INTERTIE
1001852,211849,455119,INTERTIE
1001853,259501,261853,GENERATOR
1001854,907664,658461,GENERATOR
1001855,173992,735862,LOAD
1001856,209353,178559,GENERATOR
1001857,505359,965627,GENERATOR
1001858,537733,874529,GENERATOR
1001859,907664,694271,GENERATOR
1001860,138185,108202,GENERATOR
1001861,211849,149831,INTERTIE
1001862,139213,179050,GENERATOR
1001863,907664,209699,GENERATOR
1001864,575998,103616,GENERATOR
1001865,907664,527535,GENERATOR
1001866,537733,570092,GENERATOR
1001867,505359,884393,GENERATOR
1001868,393170,160896,INTERTIE
1001869,164205,772931,INTERTIE
1001870,907664,757517,GENERATOR
1001871,386315,133547,GENERATOR
1001872,505359,380817,GENERATOR
1001873,258019,387128,GENERATOR
1001874,575998,155211,GENERATOR
1001875,138185,771786,GENERATOR
1001876,907664,475999,GENERATOR
1001877,602709,184942,GENERATOR
1001878,167125,481640,INTERTIE
1001879,822669,380730,INTERTIE
1001880,319525,655049,INTERTIE
1001881,164205,866472,INTERTIE
1001882,505359,508920,GENERATOR
1001883,907664,935906,GENERATOR
1001884,907664,665238,GENERATOR
1001885,138185,189857,GENERATOR
1001886,141772,557145,INTERTIE
1001887,621200,386540,GENERATOR
1001888,242731,112948,GENERATOR
1001889,907664,223711,GENERATOR
1001890,163899,352258,INTERTIE
1001891,907664,346211,GENERATOR
1001892,505359,169504,INTERTIE
1001893,505359,521317,GENERATOR
1001894,380000,787730,GENERATOR
1001895,735081,907297,GENERATOR
1001896,318998,707373,INTERTIE
1001897,206034,496292,INTERTIE
1001898,907664,171832,GENERATOR
1001899,138185,195997,GENERATOR
1001900,318998,769353,INTERTIE
1001901,138185,582087,GENERATOR
1001902,665097,163163,GENERATOR
1001903,907664,184855,GENERATOR
1001904,505359,811505,INTERTIE
1001905,907664,665511,GENERATOR
1001906,907664,736081,GENERATOR
1001907,907664,824470,GENERATOR
1001908,318998,616562,INTERTIE
1001909,800968,243483,INTERTIE
1001910,537733,347450,GENERATOR
1001911,907664,476768,GENERATOR
1001912,575998,455287,GENERATOR
1001913,907664,549005,GENERATOR
1001914,211849,164982,INTERTIE
1001915,386315,174106,GENERATOR
1001916,138185,429030,GENERATOR
1001917,138185,272512,GENERATOR
1001918,115307,694443,INTERTIE
1001919,339577,705086,INTERTIE
1001920,138185,372541,GENERATOR
1001921,900650,111406,INTERTIE
1001922,138185,528254,GENERATOR
1001923,145394,285521,GENERATOR
1001924,907664,855941,GENERATOR
1001925,907664,114708,GENERATOR
1001926,211849,910339,INTERTIE
1001927,203163,139345,INTERTIE
1001928,138185,206980,GENERATOR
1001929,505359,114883,INTERTIE
1001930,537733,922315,GENERATOR
1001931,183056,265784,INTERTIE
1001932,907664,997476,GENERATOR
1001933,138185,347269,GENERATOR
1001934,106455,640385,GENERATOR
1001935,907664,468405,GENERATOR
1001936,132371,163766,LOAD
1001937,770825,183445,INTERTIE
1001938,537733,106825,GENERATOR
1001939,766049,161666,GENERATOR
1001940,907664,157437,GENERATOR
1001941,907664,790463,GENERATOR
1001942,138185,103773,GENERATOR
1001943,907664,368991,GENERATOR
1001944,339577,606141,INTERTIE
1001945,211849,168904,INTERTIE
1001946,537733,567616,GENERATOR
1001947,822669,775002,INTERTIE
1001948,907664,106695,GENERATOR
1001949,505359,806870,GENERATOR
1001950,139213,536094,GENERATOR
1001951,141772,914230,INTERTIE
1001952,138185,179841,GENERATOR
1001953,146104,107486,GENERATOR
1001954,537733,310103,GENERATOR
1001955,167872,665318,INTERTIE
1001956,766049,230642,GENERATOR
1001957,907664,598153,GENERATOR
1001958,167125,839040,INTERTIE
1001959,907664,470004,GENERATOR
1001960,153531,443068,GENERATOR
1001961,339577,147759,INTERTIE
1001962,537733,181484,GENERATOR
1001963,900650,341230,GENERATOR
1001964,537733,873342,GENERATOR
1001965,138185,190933,GENERATOR
1001966,907664,566632,GENERATOR
1001967,200092,165010,INTERTIE
1001968,410435,834563,GENERATOR
1001969,907664,474646,GENERATOR
1001970,138185,300798,GENERATOR
1001971,907664,669632,GENERATOR
1001972,138185,979499,GENERATOR
1001973,505359,618661,GENERATOR
1001974,403257,145763,INTERTIE
1001975,537733,210359,GENERATOR
1001976,907664,865034,GENERATOR
1001977,132683,134906,INTERTIE
1001978,907664,938754,GENERATOR
1001979,505359,191353,INTERTIE
1001980,138185,280396,GENERATOR
1001981,907664,211811,GENERATOR
1001982,907664,672601,GENERATOR
1001983,138185,394314,GENERATOR
1001984,665097,475810,GENERATOR
1001985,167125,151039,INTERTIE
1001986,410435,455364,GENERATOR
1001987,145394,174755,GENERATOR
1001988,907664,554462,GENERATOR
1001989,138185,125178,GENERATOR
1001990,505359,183677,GENERATOR
1001991,907664,164683,GENERATOR
1001992,386315,106665,GENERATOR
1001993,187496,462999,GENERATOR
1001994,386315,975528,GENERATOR
1001995,173992,134625,GENERATOR
1001996,522779,436148,GENERATOR
1001997,907664,288035,GENERATOR
1001998,434510,218483,GENERATOR
1001999,407459,599786,GENERATOR
1002000,907664,326182,GENERATOR
1002001,200388,196186,INTERTIE
1002002,138185,738821,GENERATOR
1002003,505359,630409,GENERATOR
1002004,139213,139835,GENERATOR
1002005,907664,609043,GENERATOR
1002006,907664,106209,GENERATOR
1002007,505359,307915,GENERATOR
1002008,153531,269979,GENERATOR
1002009,318998,193106,INTERTIE
1002010,907664,263184,GENERATOR
1002011,505359,115712,GENERATOR
1002012,106455,213032,INTERTIE
1002013,665097,106466,GENERATOR
1002014,112785,885513,INTERTIE
1002015,907664,361877,GENERATOR
1002016,665097,182048,GENERATOR
1002017,665097,211876,GENERATOR
1002018,907664,604408,GENERATOR
1002019,171989,865837,INTERTIE
1002020,665097,209823,GENERATOR
1002021,529242,731152,GENERATOR
1002022,907664,966770,GENERATOR
1002023,153531,153368,GENERATOR
1002024,529242,956804,GENERATOR
1002025,640802,364528,GENERATOR
1002026,907664,168847,GENERATOR
1002027,907664,275912,GENERATOR
1002028,907664,552862,GENERATOR
1002029,665097,121422,GENERATOR
1002030,529242,201934,GENERATOR
1002031,665097,167368,GENERATOR
1002032,266924,381615,GENERATOR
1002033,449230,204333,GENERATOR
1002034,529242,260831,GENERATOR
1002035,907664,277442,GENERATOR
1002036,907664,576131,GENERATOR
1002037,153531,135377,GENERATOR
1002038,907664,755561,GENERATOR
1002039,665097,148107,GENERATOR
1002040,529242,797112,GENERATOR
1002041,339577,695222,INTERTIE
1002042,907664,158951,GENERATOR
1002043,153531,509805,GENERATOR
1002044,907664,546244,GENERATOR
1002045,529242,361746,GENERATOR
1002046,907664,166234,GENERATOR
1002047,907664,324677,GENERATOR
1002048,907664,608269,GENERATOR
1002049,907664,263619,GENERATOR
1002050,907664,179130,GENERATOR
1002051,529242,163593,GENERATOR
1002052,318998,503580,INTERTIE
1002053,907664,968453,GENERATOR
1002054,529242,272761,GENERATOR
1002055,529242,151875,GENERATOR
1002056,153531,896982,GENERATOR
1002057,665097,130360,GENERATOR
1002058,153531,129308,GENERATOR
1002059,567223,127466,INTERTIE
1002060,211849,611820,GENERATOR
1002061,665097,191856,GENERATOR
1002062,199285,978009,INTERTIE
1002063,907664,211635,GENERATOR
1002064,665097,955965,GENERATOR
1002065,153531,157460,GENERATOR
1002066,529242,921125,GENERATOR
1002067,907664,433012,GENERATOR
1002068,171989,275286,INTERTIE
1002069,529242,847855,GENERATOR
1002070,451247,530053,INTERTIE
1002071,529242,619887,GENERATOR
1002072,529242,212534,GENERATOR
1002073,907664,575541,GENERATOR
1002074,953747,637874,INTERTIE
1002075,665097,407915,GENERATOR
1002076,112785,190666,INTERTIE
1002077,800968,949253,INTERTIE
1002078,153531,847894,GENERATOR
1002079,907664,776094,GENERATOR
1002080,529242,150293,GENERATOR
1002081,266924,121296,GENERATOR
1002082,665097,188855,GENERATOR
1002083,529242,482649,GENERATOR
1002084,907664,209711,GENERATOR
1002085,266924,913355,GENERATOR
1002086,529242,710387,GENERATOR
1002087,163899,865499,INTERTIE
1002088,665097,367126,GENERATOR
1002089,907664,366155,GENERATOR
1002090,665097,456562,GENERATOR
1002091,665097,967997,GENERATOR
1002092,725439,647805,INTERTIE
1002093,665097,837002,GENERATOR
1002094,153531,229544,GENERATOR
1002095,529242,135319,GENERATOR
1002096,529242,950405,GENERATOR
1002097,505359,346701,GENERATOR
1002098,907664,915450,GENERATOR
1002099,665097,806006,GENERATOR
1002100,529242,424585,GENERATOR
1002101,907664,206215,GENERATOR
1002102,665097,179000,GENERATOR
1002103,529242,284331,GENERATOR
1002104,153531,278557,GENERATOR
1002105,160711,331315,INTERTIE
1002106,907664,384913,GENERATOR
1002107,116121,905952,INTERTIE
1002108,907664,172225,GENERATOR
1002109,907664,385341,GENERATOR
1002110,907664,186633,GENERATOR
1002111,907664,228637,GENERATOR
1002112,907664,129986,GENERATOR
1002113,529242,108706,GENERATOR
1002114,907664,772120,GENERATOR
1002115,529242,896531,GENERATOR
1002116,153531,490724,GENERATOR
1002117,318998,311257,INTERTIE
1002118,907664,138746,GENERATOR
1002119,567223,348028,INTERTIE
1002120,907664,638069,GENERATOR
1002121,529242,489217,GENERATOR
1002122,529242,368954,GENERATOR
1002123,137111,121147,INTERTIE
1002124,266924,411976,GENERATOR
1002125,339577,499694,INTERTIE
1002126,907664,204673,GENERATOR
1002127,907664,102551,GENERATOR
1002128,907664,814713,GENERATOR
1002129,907664,133470,GENERATOR
1002130,665097,157633,GENERATOR
1002131,907664,117355,GENERATOR
1002132,529242,839810,GENERATOR
1002133,907664,769106,GENERATOR
1002134,339577,472338,INTERTIE
1002135,529242,239625,GENERATOR
1002136,907664,712312,GENERATOR
1002137,907664,144764,GENERATOR
1002138,907664,142661,GENERATOR
1002139,529242,276632,GENERATOR
1002140,190145,631554,INTERTIE
1002141,339577,156184,INTERTIE
1002142,190145,159200,INTERTIE
1002143,339577,876500,INTERTIE
1002144,222949,364542,INTERTIE
1002145,190145,840776,INTERTIE
1002146,167125,436949,INTERTIE
1002147,190145,106645,INTERTIE
1002148,190145,137729,INTERTIE
1002149,602709,140315,GENERATOR
1002150,189093,569078,INTERTIE
1002151,318998,213461,INTERTIE
1002152,190145,159972,INTERTIE
1002153,339577,671341,INTERTIE
1002154,164205,916686,INTERTIE
1002155,339577,107916,INTERTIE
1002156,391851,809558,GENERATOR
1002157,534383,521760,INTERTIE
1002158,190145,712363,INTERTIE
1002159,476125,577673,INTERTIE
1002160,190145,190239,INTERTIE
1002161,189093,765103,INTERTIE
1002162,339577,442923,INTERTIE
1002163,318998,335868,INTERTIE
1002164,953747,816490,INTERTIE
1002165,339577,845006,INTERTIE
1002166,190145,628366,INTERTIE
1002167,190145,397838,INTERTIE
1002168,189093,262817,INTERTIE
1002169,115307,160291,INTERTIE
1002170,725439,203736,INTERTIE
1002171,827577,303348,INTERTIE
1002172,164205,700304,INTERTIE
1002173,468404,199332,INTERTIE
1002174,543855,167256,INTERTIE
1002175,318998,194971,INTERTIE
1002176,725439,201223,INTERTIE
1002177,190145,205545,INTERTIE
1002178,190145,495791,INTERTIE
1002179,795476,849297,INTERTIE
1002180,543855,122004,INTERTIE
1002181,183056,184537,INTERTIE
1002182,468404,108122,INTERTIE
1002183,319525,169934,INTERTIE
1002184,665097,178055,GENERATOR
1002185,534383,203679,INTERTIE
1002186,189093,178180,INTERTIE
1002187,735081,403796,INTERTIE
1002188,152321,161727,INTERTIE
1002189,164205,252891,INTERTIE
1002190,190145,139656,INTERTIE
1002191,114882,147603,INTERTIE
1002192,141772,580411,INTERTIE
1002193,222949,106719,INTERTIE
1002194,735081,167179,INTERTIE
1002195,167125,570841,INTERTIE
1002196,114882,379037,INTERTIE
1002197,481829,130704,INTERTIE
1002198,190145,163169,INTERTIE
1002199,139213,129654,GENERATOR
1002200,795476,208919,INTERTIE
1002201,139213,118232,GENERATOR
1002202,339577,181075,INTERTIE
1002203,194660,118805,INTERTIE
1002204,318998,498881,INTERTIE
1002205,114882,174102,INTERTIE
1002206,139213,130695,INTERTIE
1002207,109347,126265,INTERTIE
1002208,200388,762757,INTERTIE
1002209,200092,157413,INTERTIE
1002210,242731,201681,INTERTIE
1002211,200092,358644,INTERTIE
1002212,137111,194928,INTERTIE
1002213,152321,184483,INTERTIE
1002214,126187,153691,INTERTIE
1002215,725439,115457,INTERTIE
1002216,827577,385262,INTERTIE
1002217,112785,173383,INTERTIE
1002218,159517,204461,INTERTIE
1002219,164205,842570,INTERTIE
1002220,165846,530568,INTERTIE
1002221,339577,338486,INTERTIE
1002222,171989,319897,INTERTIE
1002223,190145,876674,INTERTIE
