"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type"
1000189,138185,720505,GENERATOR
1000190,139213,181364,GENERATOR
1000191,161295,840234,GENERATOR
1000192,138185,614795,GENERATOR
1000193,104377,264638,GENERATOR
1000194,907664,550880,GENERATOR
1000195,640943,192003,LOAD
1000196,344931,198858,GENERATOR
1000197,505359,145264,GENERATOR
1000198,106455,173107,GENERATOR
1000199,509752,193647,INTERTIE
1000200,575998,352614,GENERATOR
1000201,139213,181019,GENERATOR
1000202,139213,108312,GENERATOR
1000203,139213,179949,GENERATOR
1000204,626300,837024,GENERATOR
1000205,725439,928357,GENERATOR
1000206,575998,794449,GENERATOR
1000207,273088,574704,LOAD
1000208,139213,663237,GENERATOR
1000209,110055,988619,GENERATOR
1000210,139213,155502,GENERATOR
1000211,139213,169786,GENERATOR
1000212,126187,980245,GENERATOR
1000213,193172,663112,GENERATOR
1000214,364336,487045,INTERTIE
1000215,139213,137893,GENERATOR
1000216,139213,139204,GENERATOR
1000217,139213,149427,GENERATOR
1000218,126974,475261,GENERATOR
1000219,138185,821492,GENERATOR
1000220,153746,814548,GENERATOR
1000221,187496,150919,GENERATOR
1000222,139213,202450,GENERATOR
1000223,139213,398608,GENERATOR
1000224,188430,105465,GENERATOR
1000225,626300,159086,GENERATOR
1000226,339577,777449,INTERTIE
1000227,621200,171937,GENERATOR
1000228,261765,905955,GENERATOR
1000229,697298,296497,GENERATOR
1000230,139213,360176,GENERATOR
1000231,139213,544426,GENERATOR
1000232,648754,809558,GENERATOR
1000233,640802,129252,GENERATOR
1000234,193742,104452,GENERATOR
1000235,505359,725823,GENERATOR
1000236,138185,214960,GENERATOR
1000237,206037,167814,LOAD
1000238,138185,150978,GENERATOR
1000239,139213,108072,GENERATOR
1000240,139213,151431,GENERATOR
1000241,139213,130239,GENERATOR
1000242,138185,102401,GENERATOR
1000243,602709,129089,GENERATOR
1000244,211849,132135,INTERTIE
1000245,725439,933740,GENERATOR
1000246,589323,875373,LOAD
1000247,709294,932206,GENERATOR
1000248,678841,432370,GENERATOR
1000249,139213,152494,GENERATOR
1000250,747074,761691,GENERATOR
1000251,505359,198934,GENERATOR
1000252,138185,190111,GENERATOR
1000253,505359,893185,GENERATOR
1000254,122851,418080,GENERATOR
1000255,525921,181128,GENERATOR
1000256,393170,174366,INTERTIE
1000257,505359,741263,GENERATOR
1000258,193932,175099,LOAD
1000259,189093,203395,INTERTIE
1000260,139213,100232,GENERATOR
1000261,187496,794739,GENERATOR
1000262,132683,692391,LOAD
1000263,139213,210154,GENERATOR
1000264,132480,707240,GENERATOR
1000265,189549,495058,GENERATOR
1000266,505359,148387,GENERATOR
1000267,505359,172922,GENERATOR
1000268,139213,142584,GENERATOR
1000269,138185,713609,GENERATOR
1000270,505359,146911,GENERATOR
1000271,505359,206092,GENERATOR
1000272,187496,768776,GENERATOR
1000273,139213,176584,GENERATOR
1000274,138185,149799,GENERATOR
1000275,712391,155479,GENERATOR
1000276,138185,327411,GENERATOR
1000277,313306,540268,LOAD
1000278,161295,774713,GENERATOR
1000279,620982,111869,GENERATOR
1000280,242731,695234,LOAD
1000281,505359,237343,GENERATOR
1000282,139213,339674,GENERATOR
1000283,139213,205413,GENERATOR
1000284,139213,841533,GENERATOR
1000285,849868,137023,GENERATOR
1000286,113586,263392,LOAD
1000287,139213,186631,GENERATOR
1000288,189549,820471,GENERATOR
1000289,138185,674668,GENERATOR
1000290,245368,129696,GENERATOR
1000291,210288,167500,LOAD
1000292,211411,376549,GENERATOR
1000293,139213,292435,GENERATOR
1000294,193172,913449,GENERATOR
1000295,259501,122815,GENERATOR
1000296,735081,328367,GENERATOR
1000297,534467,167586,GENERATOR
1000298,505359,155645,GENERATOR
1000299,125201,301269,INTERTIE
1000300,505359,148264,GENERATOR
1000301,640802,141013,GENERATOR
1000302,187496,154392,GENERATOR
1000303,153531,190775,GENERATOR
1000304,959402,341369,GENERATOR
1000305,695673,263628,GENERATOR
1000306,139213,125897,GENERATOR
1000307,505359,171810,GENERATOR
1000308,725439,236353,GENERATOR
1000309,838414,140316,GENERATOR
1000310,725439,182549,GENERATOR
1000311,139213,578461,GENERATOR
1000312,602709,787026,GENERATOR
1000313,717030,742329,GENERATOR
1000314,187496,133683,GENERATOR
1000315,364336,784896,GENERATOR
1000316,126974,660963,LOAD
1000317,159895,165788,GENERATOR
1000318,139213,170663,GENERATOR
1000319,158530,134261,INTERTIE
1000320,725439,181860,GENERATOR
1000321,608963,224523,LOAD
1000322,172810,514564,INTERTIE
1000323,168289,369878,LOAD
1000324,132155,113060,LOAD
1000325,907664,255723,GENERATOR
1000326,505359,171478,GENERATOR
1000327,505359,691663,GENERATOR
1000328,865232,676452,GENERATOR
1000329,139213,198022,GENERATOR
1000330,139213,134471,GENERATOR
1000331,313306,662223,LOAD
1000332,505359,195275,GENERATOR
1000333,211849,620765,GENERATOR
1000334,735081,178559,GENERATOR
1000335,259501,209674,GENERATOR
1000336,138185,107674,GENERATOR
1000337,132683,187838,LOAD
1000338,139213,379476,GENERATOR
1000339,505359,303420,GENERATOR
1000340,915306,131964,GENERATOR
1000341,150355,801148,INTERTIE
1000342,505359,213484,GENERATOR
1000343,106455,111095,INTERTIE
1000344,139213,340172,GENERATOR
1000345,139213,192970,GENERATOR
1000346,139213,720443,GENERATOR
1000347,187496,907297,GENERATOR
1000348,139213,879947,GENERATOR
1000349,640802,828238,GENERATOR
1000350,735081,247393,GENERATOR
1000351,132683,277035,INTERTIE
1000352,640802,509353,GENERATOR
1000353,104377,857306,GENERATOR
1000354,139213,154867,GENERATOR
1000355,575998,131448,GENERATOR
1000356,195008,975758,INTERTIE
1000357,725439,159227,GENERATOR
1000358,139213,416846,GENERATOR
1000359,913202,170233,LOAD
1000360,938279,193972,GENERATOR
1000361,907664,154399,GENERATOR
1000362,505359,650409,GENERATOR
1000363,139213,206925,GENERATOR
1000364,505359,118328,GENERATOR
1000365,505359,496776,GENERATOR
1000366,900650,671897,GENERATOR
1000367,725439,211538,GENERATOR
1000368,907664,136331,GENERATOR
1000369,160711,143596,INTERTIE
1000370,640802,224290,GENERATOR
1000371,153531,163107,GENERATOR
1000372,723920,134809,INTERTIE
1000373,139213,687240,GENERATOR
1000374,117679,694071,GENERATOR
1000375,339577,117971,INTERTIE
1000376,505359,250408,GENERATOR
1000377,339577,451866,INTERTIE
1000378,640802,118048,GENERATOR
1000379,139213,383965,GENERATOR
1000380,122958,114387,LOAD
1000381,718150,908541,LOAD
1000382,138185,258636,GENERATOR
1000383,505359,286732,GENERATOR
1000384,269506,975065,GENERATOR
1000385,139213,127538,GENERATOR
1000386,505359,204933,LOAD
1000387,387291,631302,INTERTIE
1000388,139213,828007,GENERATOR
1000389,189093,131943,INTERTIE
1000390,505359,577296,GENERATOR
1000391,203163,960427,INTERTIE
1000392,206034,196802,LOAD
1000393,387291,851896,INTERTIE
1000394,139213,104714,GENERATOR
1000395,187496,967390,GENERATOR
1000396,138185,506583,GENERATOR
1000397,505359,269465,GENERATOR
1000398,735081,101787,GENERATOR
1000399,747074,145233,GENERATOR
1000400,245368,130812,GENERATOR
1000401,139213,204031,GENERATOR
1000402,139213,196390,GENERATOR
1000403,313306,853416,LOAD
1000404,108923,164677,LOAD
1000405,187496,129058,GENERATOR
1000406,193172,131286,GENERATOR
1000407,575998,123202,GENERATOR
1000408,145394,891427,GENERATOR
1000409,139213,151598,GENERATOR
1000410,210288,192146,LOAD
1000411,980919,214685,GENERATOR
1000412,245368,123314,GENERATOR
1000413,257596,630958,GENERATOR
1000414,640802,509923,GENERATOR
1000415,139213,264867,GENERATOR
1000416,242731,560928,INTERTIE
1000417,859606,147852,LOAD
1000418,187496,978123,GENERATOR
1000419,139213,107238,GENERATOR
1000420,725439,106763,GENERATOR
1000421,915306,199517,INTERTIE
1000422,139213,964607,GENERATOR
1000423,387291,697116,INTERTIE
1000424,183056,260947,INTERTIE
1000425,505359,319098,GENERATOR
1000426,139213,878195,GENERATOR
1000427,160711,198136,GENERATOR
1000428,172142,386540,GENERATOR
1000429,187496,704706,GENERATOR
1000430,725950,506373,LOAD
1000431,646523,981846,GENERATOR
1000432,124568,165806,GENERATOR
1000433,206034,163238,INTERTIE
1000434,187496,169873,LOAD
