"resource_xref","resource_mask","dyn_label","gen_type","max_bid"
1005534,100922,,,
1000345,560781,,,
1000347,756024,,,
1000348,125437,,,
1000349,116559,,,
1000351,562854,,,
1000353,144942,,,
1000354,135714,,,
1005535,168681,,,
1005536,173629,,,
1000358,264867,,,
1005537,938152,,,
1000362,580977,,,
1000364,194195,,,
1000366,150978,,,
1000370,126347,,,
1000373,570327,,,
1000378,215813,,,
1000380,680331,,,
1000381,801148,,,
1000383,156192,,,
1000385,488780,,,
1000386,217812,,,
1000387,392473,,,
1000388,799822,,,
1000390,108432,,,
1000392,205743,,,
1000394,593360,,,
1000397,577531,,,
1000399,754646,,,
1000401,480008,,,
1000402,131958,,,
1000403,116743,,,
1000405,980292,,,
1000408,749304,,,
1000414,215039,,,
1000417,416846,,,
1000420,814548,,,
1000422,185644,,,
1000425,166623,,,
1000426,176712,,,
1000427,973624,,,
1000430,171438,,,
1000432,199363,,,
1000434,186841,,,
1000436,149799,,,
1003020,940471,,,
1000441,151240,,,
1000442,581105,,,
1000445,325131,,,
1000446,190775,,,
1000447,860502,,,
1000448,334638,,,
1000451,509923,,,
1000404,492855,,,240
1000360,118328,,SOLAR,250
1000423,122732,,SOLAR,210
1000314,238485,,,210
1000412,135669,,,166
1000452,151431,,,63.5
1000356,309385,,SOLAR,120
1000306,742329,,,100
1000379,155930,,,105
1000375,701361,,SOLAR,102
1000261,131086,,SOLAR,80
1000230,787026,,,76
1000320,454594,,SOLAR,
1000438,346109,,SOLAR,
1000318,135132,,SOLAR,
1000236,137893,,SOLAR,
1000395,175742,,SOLAR,
1000330,148264,,SOLAR,
1000421,182745,,SOLAR,
1000371,158034,,SOLAR,
1000352,339674,,SOLAR,
1000444,832525,,SOLAR,
1000407,862299,,SOLAR,
1000252,928755,,SOLAR,
1000339,751165,,SOLAR,
1000411,209945,,SOLAR,
1000277,107701,,SOLAR,
1000376,153772,,SOLAR,
1000344,204031,,SOLAR,
1000433,107238,,SOLAR,
1000255,205771,,SOLAR,
1000424,170224,,SOLAR,
1000391,133202,,SOLAR,
1000250,124050,,SOLAR,
1000431,113103,,SOLAR,
1000302,196288,,SOLAR,
1000406,441965,,SOLAR,
1000262,243795,,SOLAR,
1000341,413833,,SOLAR,
1000350,910655,,SOLAR,
1000317,124669,,SOLAR,
1000313,500324,,SOLAR,
1000297,192200,,SOLAR,
1000372,569517,,SOLAR,
1000279,940234,,SOLAR,
1000393,170140,,SOLAR,
1000365,112467,,SOLAR,
1000256,955739,,SOLAR,
1000316,230540,,SOLAR,
1000234,172922,,SOLAR,
1000363,192970,,SOLAR,
1000232,663237,,SOLAR,
1000443,650409,,SOLAR,
1000346,201337,,,882
1000247,944410,HELMPG_7_UNIT 2,,407
1000336,639090,,,200
1000418,127137,,SOLAR,166
1000298,144886,,SOLAR,150
1000283,121075,,,100
1000326,851143,,,95
1000453,314224,,,
1000454,497123,,,
1000455,797281,,,
1000456,133919,,,
1004976,211336,,,
1000458,175275,,,
1000459,467997,,,
1000460,851690,,,
1000461,340172,,,
1000462,110346,,,
1004977,130935,,,
1000465,513723,,,
1005538,303038,,,
1005539,624074,,,
1000470,214773,,,
1000471,951354,,,
1000472,142447,,,
1000473,148302,,,
1000475,152876,,,
1000480,673363,,,
1005540,447935,,,
1000483,701449,,,
1004978,447217,,,
1000486,980245,,,
1000487,526407,,,
1004979,578922,,,
1000489,493473,,,
1000491,132135,,,
1000492,692391,,,
1000494,464557,,,
1004980,494467,,,
1000496,150008,,,
1000497,119664,,,
1000498,314389,,,
1000499,512307,,,
1000500,104767,,,
1000502,473225,,,
1000504,961578,,,
1000505,366805,,,
1000506,587533,,,
1004981,106405,,,
1000510,384015,,,
1005108,196036,,,
1005109,180912,,,
1000600,140969,SBERDO_2_PSP3,,555
1000476,435045,SBERDO_2_PSP4,,555
1000520,589439,,,
1000525,527683,,,
1000526,274336,,,
1000529,108805,,,
1000531,978287,,,
1000532,429532,,,
1000535,174682,,,
1000537,550880,,,
1000540,181907,,,
1000541,840330,,,
1000542,695234,,,
1000543,485740,,,
1000544,207693,,,
1000548,149041,,,
1000549,327411,,,
1000550,828007,,,
1000552,201421,,,
1000555,184765,,,
1000556,557910,,,
1000557,839103,,,
1000558,374416,,,
1000562,110775,,,
1000563,111621,,,
1000564,199517,,,
1000567,166218,,,
1000569,893196,,,
1000570,163238,,,
1000572,155325,,,
1000573,105286,,,
1000574,181860,,,
1000576,931363,,,
1000578,118395,,,
1000581,101363,,,
1000582,777449,,,
1000584,603095,,,
1000585,568422,,,
1000586,200713,,,
1000587,925285,,,
1000588,191339,,,
1000590,247393,,,
1000591,133061,,,
1000592,166463,,,
1000596,857306,,,
1000597,980465,,,
1000598,197260,,,
1000599,164677,,,
1000601,120392,,,
1000602,193527,,,
1000604,652578,,,
1000607,505136,,,
1000609,819640,,,
1003021,110709,,,
1000611,554521,,,
1000613,987140,,,
1000614,190023,,,
1000616,117810,,,
1000617,992696,,,
1000618,955434,,,
1000620,222735,,,
1000623,255723,,,
1000624,182239,,,
1000626,618386,,,
1000629,230140,,,
1000630,941027,,,
1000632,207781,,,
1000634,465843,,,
1000637,146051,,,
1000640,129148,,,
1000643,833379,,,
1000644,190111,,,
1000647,429043,,,
1000649,193894,,,
1000651,134471,,,
1000653,142368,,,
1000655,148307,,,
1000658,960261,,,
1000659,161075,,,
1000661,498502,,,
1000662,434639,,,
1000663,198465,,,
1000666,908541,,,
1000668,144939,,,
1000669,201829,,,
